"uri","label","type","unit"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills",,"BR - Better Regulation"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills",,"HR - Human Resources"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills",,"UKTI BG - Business Group"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","UKTI SHR - Strategy and Human Resources"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","LEGAL GRP - Legal Services Group Support Office"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","LEGB - Legal Services Directorate B"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","ETID - Europe Trade and International Directorate (MF)"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","IA - Internal Audit"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","DG KI - DG Knowledge and Innovation (KI)"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","AD - Analysis Directorate"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","COM - Communications"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","BED - Business Environment Directorate (MF)"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","CCP - Consumer and Competition Policy (MF)"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","GO SCD - Government Office for Science Directorate"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","UKTI Sectors Group"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","EDD - Economic Development Directorate (BS)"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","FD - Finance Directorate"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","HESS - Higher Education Student Support"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","CEA - Chief Economic Advisor (and Support)"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","UKTI DSO - Defence and Security Organisation"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","AMS - Advanced Manufacturing and Services (BS)"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","IE - Information Economy (BS)"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","ED - Enterprise Directorate (BS)"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","S - Skills (BS)"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","ESG - Economics Strategy and Growth"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","UKTI MG - Marketing Group"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","UKTI SG - Sectors Group"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","UKTI EET - Economists and Evaluation Team"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","MPST - Ministerial and Parliamentary Supp"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","ICD - Innovation Capability Directorate"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","MF RPU - MF Resource and Planning (MF)"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","FESI - Further Education and Skills Investment (BS)"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","RB - Research Base (KI)"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","UKTI ITF - IT and Finance"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","CD - Commercial Directorate"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","ID - Innovation Directorate (KI)"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","LEGA - Legal Services Directorate A"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","ER - Employment Relations (MF)"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","SE - Shareholder Executive"
"http://reference.data.gov.uk/id/department/bis","Department for Business Innovation and Skills","Organization","UKTI IG - International Group"
