"uri","label","type","unit"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service",,"North WestNORTH WEST"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service",,"CPS DirectCPS DIRECT"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service",,"South WestSOUTH WEST"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","WalesWALES"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","Private Office"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","HQ Finance Directorate"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","HQ Human Resources Directorate"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","LONDON"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","Merseyside and CheshireMERSEYSIDE AND CHESHIRE"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","NORTH EASTNorth East"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","HQ Equality and Diversity Unit"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","HQ Strategy and Policy Directorate"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","EASTERN"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","South EastSOUTH EAST"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","WessexWESSEX"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","Public Services Prosecution Division"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","HQ Operations Directorate"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","Special Crime and Counter Terrorism Division"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","EAST MIDLANDS"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","Central Fraud Group"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","Business Development Directorate"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","Thames and ChilternTHAMES AND CHILTERN"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","West MidlandsWEST MIDLANDS"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","Yorkshire and HumbersideYORKSHIRE AND HUMBERSIDE"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","Organised Crime Division"
"http://reference.data.gov.uk/id/department/cps","Crown Prosecution Service","Organization","HQ Communication Division"
