"uri","label","type","unit"
"http://reference.data.gov.uk/id/department/dfe","Department for Education",,"Academies Policy and School Organisation Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education",,"Communications Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education",,"Strategic Analysis Research and Policy Impact Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Infrastructure Funding and Longitudinal Analysis Division"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Academies Delivery Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Internal Audit"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Chief Information Officer and Property Asset Management Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","School Standards Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Children, Young People and Families Directorate"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Qualifications and Participation Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Teachers Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Education Strategy, Performance and Analysis Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Strategy and Performance Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","People and Change Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Office of the Schools Commissioner"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Infrastructure and Funding Directorate Support Team"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Curriculum and Behaviour Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Early Years, Extended Schools and Special Needs Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Supporting Children and Young People Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Education Funding Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Families Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Legal Advisers Office"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Free Schools Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Supporting Delivery Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Finance and Commercial Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Private Office"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","Safeguarding Group"
"http://reference.data.gov.uk/id/department/dfe","Department for Education","Organization","ALB Reform Group"
