"uri","label","type","unit"
"http://reference.data.gov.uk/id/department/dh","Department of Health",,"Chief Nursing Officer's Directorate"
"http://reference.data.gov.uk/id/department/dh","Department of Health",,"Informatics Directorate"
"http://reference.data.gov.uk/id/department/dh","Department of Health",,"Office of the NHS Leadership Team"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","Regional Public Health Group North West"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","Regional Public Health Group South East"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","Regional Public Health Group South West"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","Regional Public Health Group West Midlands"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","Chief Medical Officer's Private Office"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","Corporate Development Directorate"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","Policy Strategy & Finance Directorate"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","Research & Development Directorate"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","Workforce Directorate"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","NHS Finance Performance & Operations Directorate"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","DH Permanent Secretary - Private Office"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","Health Improvement & Protection Directorate"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","Public Health England Transition Team"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","Social Care Local Government & Care Partnerships Directorate"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","National Director for Improvement & Efficiency"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","NHS Medical Directorate"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","Advisory Committee on Clinical Excellence Awards"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","Communications Directorate"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","Managing Director for Commissioning Development"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","Managing Director for Provider Development"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","Regional Public Health Group East Midlands"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","Regional Public Health Group London"
"http://reference.data.gov.uk/id/department/dh","Department of Health","Organization","Regional Public Health Group North East"
