"uri","label","type","unit"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors",,"Central Advisory Division - Government Equality Office"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors",,"Department for Environment, Food & Rural Affairs"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors",,"Department for Environment, Food & Rural Affairs - Arms Length Bodies, Food & Veterinary Medicines"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Department for Environment, Food & Rural Affairs - Fish, Forestry, Plants, Seeds & Waste"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Department for Education - Academies and Free Schools"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Litigation - Management Unit"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Litigation A1 - MoJ Private Law"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Litigation A2 - Private Law"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Litigation B - Public Law"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Employment E3"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Corporate Resources"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","European Division - Litigation"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Litigation A - Private Law & Inquiries"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Litigation B2 - Immigration"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Employment E1"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Central Advisory Division"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Corporate Resources - Finance"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Department for Environment, Food & Rural Affairs - Litigation & Prosection"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Department for Environment, Food & Rural Affairs - Water & Sustainable Development"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Government Legal Service Secretariat"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","N2 Al Sweady Inquiry"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Treasury Advisory - Pensions and Employment"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Business Partnership"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Central Advisory Division - Efficiency and Reform Group"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Department for Environment, Food & Rural Affairs - Marine Environment, Conservation & Biodiversity"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Department for Education - Safeguarding, Early Years & Information Law"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Department for Education - Young People, ALBs and Commercial"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","European Division - Cabinet Office Legal"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Litigation A6 - Commercial & Procurement"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Litigation B4 - Justice & Security"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","N1 National Security & Counter Terrorism"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Bona Vacantia"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Central Advisory Division Team Leader"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Corporate Resources - Office of the Treasury Solicitor"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Department for Education - Schools & Pupils"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Litigation A4 - AG & General Private Law"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Litigation A5 - Companies, BIS, Costs & Inquiries"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Litigation B3 - Immigration"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Employment E2"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Treasury Solicitor's Department"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Central Advisory Division - Health and Safety Executive"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Department for Culture, Media and Sport - Olympic, Sports and Culture"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Department for Environment, Food & Rural Affairs - Agricultural Law"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Department for Environment, Food & Rural Affairs - Business Management Unit"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Department for Environment, Food & Rural Affairs - Commercial & Procurement Law"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Department for Environment, Food & Rural Affairs - International, EU & Knowledge Management"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Litigation B1 - Immigration"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Treasury Advisory - Banking and Financial Crime"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Treasury Advisory - Insurance Markets and Mutuals"
"http://reference.data.gov.uk/id/department/treasury-solicitors","Treasury Solicitors","Organization","Corporate Resources - Human Resources"
