"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency","Animal Health Veterinary Laboritories Agency",,"Commercial (Quality Assurance Unit)","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency","Animal Health Veterinary Laboritories Agency",,"Communications","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency","Animal Health Veterinary Laboritories Agency","Organization","Human Resources","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency","Animal Health Veterinary Laboritories Agency","Organization","Pathology and Host Susceptibility","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency","Animal Health Veterinary Laboritories Agency","Organization","Veterinary Surveillance","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency","Animal Health Veterinary Laboritories Agency","Organization","Commissioning and Performance","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency","Animal Health Veterinary Laboritories Agency","Organization","Country Director (England)","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency","Animal Health Veterinary Laboritories Agency","Organization","Bacteriology","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency","Animal Health Veterinary Laboritories Agency","Organization","Data Systems Group (CERA 3)","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency","Animal Health Veterinary Laboritories Agency","Organization","Safety, Quality and Biosecurity - Safety","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency","Animal Health Veterinary Laboritories Agency","Organization","Virology","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency","Animal Health Veterinary Laboritories Agency","Organization","Chief Scientist","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency","Animal Health Veterinary Laboritories Agency","Organization","Commercial","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency","Animal Health Veterinary Laboritories Agency","Organization","Safety, Quality and Biosecurity - Quality","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency","Animal Health Veterinary Laboritories Agency","Organization","Country Director (Scotland)","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency","Animal Health Veterinary Laboritories Agency","Organization","Specialist Service Centres","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
"http://reference.data.gov.uk/id/public-body/animal-health-veterinary-laboritories-agency","Animal Health Veterinary Laboritories Agency","Organization","Veterinary and Science Policy Advice Team","Department for Environment, Food and Rural Affairs","http://reference.data.gov.uk/id/department/defra"
