"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)",,"Corporate Management, Group Directorate","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)",,"Corporate Management, People","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Legal, Legal Enforcement","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Legal, Group Directorate","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Legal, Human Rights","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Regulation, Policy","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Corporate Management, ICT","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Intelligence & Engagement, Helpline","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Intelligence & Engagement, Group Directorate","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Intelligence & Engagement, English Regions","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Corporate Management, Buildings and Facilities","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Corporate Management, Finance","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Corporate Management, Grants","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Legal, Legal Casework","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Intelligence & Engagement, External Affairs","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Intelligence & Engagement, Intelligence Hub","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Intelligence & Engagement, Stakeholder Management","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Commissioner's Office","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Corporate Management, Corporate Law and Governance","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Corporate Management, Information","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Regulation, Group Directorate","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Wales","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Corporate Management, Business Planning","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Legal, Legal Policy","Home Office","http://reference.data.gov.uk/id/department/ho"
"http://reference.data.gov.uk/id/public-body/commission-for-equalities-and-human-rights-known-a","Commission for Equalities and Human Rights (known as the Equality and Human Rights Commission)","Organization","Scotland","Home Office","http://reference.data.gov.uk/id/department/ho"
