"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/medical-research-council","Medical Research Council",,"MRC Cancer Cell Unit (CCU)","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/medical-research-council","Medical Research Council",,"MRC National Institute for Medical Research (NIMR)","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/medical-research-council","Medical Research Council","Organization","MRC Protein Phosphorylation Unit (PPU)","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/medical-research-council","Medical Research Council","Organization","MRC Regional Centre London","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/medical-research-council","Medical Research Council","Organization","MRC Human Genetics Unit (HGU)","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/medical-research-council","Medical Research Council","Organization","MRC Cognition and Brain Sciences Unit (CBSU)","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/medical-research-council","Medical Research Council","Organization","MRC Clinical Sciences Centre (CSC)","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/medical-research-council","Medical Research Council","Organization","MRC Clinical Trial Service Unit (CTSU)","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/medical-research-council","Medical Research Council","Organization","MRC Functional Genomics Unit (FGU)","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/medical-research-council","Medical Research Council","Organization","MRC International Nutrition Group","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/medical-research-council","Medical Research Council","Organization","MRC Social and Public Health Sciences Unit (SPHSU)","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/medical-research-council","Medical Research Council","Organization","MRC Toxicology Unit","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/medical-research-council","Medical Research Council","Organization","MRC Laboratory of Molecular Biology (LMB)","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/medical-research-council","Medical Research Council","Organization","MRC Anatomical Neuropharmacology Unit (ANU)","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/medical-research-council","Medical Research Council","Organization","MRC Head Office","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/medical-research-council","Medical Research Council","Organization","Cambridge Centre","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
"http://reference.data.gov.uk/id/public-body/medical-research-council","Medical Research Council","Organization","MRC Research Centre at Harwell","Department for Business Innovation and Skills","http://reference.data.gov.uk/id/department/bis"
