"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/olympic-delivery-authority","Olympic Delivery Authority",,"Construction","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/olympic-delivery-authority","Olympic Delivery Authority",,"Human Resources","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/olympic-delivery-authority","Olympic Delivery Authority","Organization","Communications","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/olympic-delivery-authority","Olympic Delivery Authority","Organization","Corporate Services","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/olympic-delivery-authority","Olympic Delivery Authority","Organization","Infrastructure and Utilities","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/olympic-delivery-authority","Olympic Delivery Authority","Organization","Transport","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/olympic-delivery-authority","Olympic Delivery Authority","Organization","Property","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/olympic-delivery-authority","Olympic Delivery Authority","Organization","Design and Regeneration","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/olympic-delivery-authority","Olympic Delivery Authority","Organization","Commercial and Legal","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/olympic-delivery-authority","Olympic Delivery Authority","Organization","Finance","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
"http://reference.data.gov.uk/id/public-body/olympic-delivery-authority","Olympic Delivery Authority","Organization","Planning Decisions","Department for Culture, Media and Sport","http://reference.data.gov.uk/id/department/dcms"
