"uri","label","type","unit","parent department","parent department > uri"
"http://reference.data.gov.uk/id/public-body/serious-fraud-office","Serious Fraud Office",,"Human Resources","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/serious-fraud-office","Serious Fraud Office",,"Graphics","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/serious-fraud-office","Serious Fraud Office","Organization","Finance","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/serious-fraud-office","Serious Fraud Office","Organization","Bribery and Corruption Business Area","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/serious-fraud-office","Serious Fraud Office","Organization","IST","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/serious-fraud-office","Serious Fraud Office","Organization","Proceeds of Crime Unit","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/serious-fraud-office","Serious Fraud Office","Organization","Chief Executives Office","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/serious-fraud-office","Serious Fraud Office","Organization","Director's Office","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/serious-fraud-office","Serious Fraud Office","Organization","Policy","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/serious-fraud-office","Serious Fraud Office","Organization","International Assistance","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/serious-fraud-office","Serious Fraud Office","Organization","Facilities Management","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/serious-fraud-office","Serious Fraud Office","Organization","Digital Forensic Unit","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/serious-fraud-office","Serious Fraud Office","Organization","EHMU","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/serious-fraud-office","Serious Fraud Office","Organization","Fraud Business Area","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/serious-fraud-office","Serious Fraud Office","Organization","Intelligence","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/serious-fraud-office","Serious Fraud Office","Organization","Law Clerks","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/serious-fraud-office","Serious Fraud Office","Organization","Procurement","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/serious-fraud-office","Serious Fraud Office","Organization","Chief Capability Officer","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
"http://reference.data.gov.uk/id/public-body/serious-fraud-office","Serious Fraud Office","Organization","Chief Investigating Officer","Attorney General's Office","http://reference.data.gov.uk/id/department/attorney-general"
